time_s,diameter
0,92.56257627
0.030528067,92.48625052
0.061056133,92.43309984
0.0915842,92.43309984
0.122112267,92.43309984
0.1526403,92.44905037
0.183168367,92.5129469
0.213696433,92.59904743
0.2442245,92.69882377
0.274752567,92.80160366
0.3052806,92.89563354
0.335808667,92.96947842
0.366336733,92.99278216
0.3968648,92.99278216
0.427392867,92.99278216
0.457920933,92.93021302
0.488448967,92.84330919
0.518977033,92.74572788
0.5495051,92.65405851
0.580033167,92.58566401
0.610561233,92.58566401
0.6410893,92.58566401
0.671617333,92.65392864
0.7021454,92.78427617
0.732673467,92.95831916
0.763201533,93.15925252
0.7937296,93.36531594
0.824257667,93.5526024
0.8547857,93.69836498
0.885313767,93.7425532
0.915841833,93.7425532
0.9463699,93.7425532
0.976897967,93.62124565
1.007426033,93.45283559
1.037954067,93.26114633
1.068482133,93.07332892
1.0990102,92.9158614
1.129538267,92.81053802
1.160066333,92.81053802
1.1905944,92.81053802
1.221122433,92.89327986
1.2516505,93.03103417
1.282178567,93.19108805
1.312706633,93.34770665
1.3432347,93.47731395
1.373762767,93.56287595
1.4042908,93.56287595
1.434818867,93.56287595
1.465346933,93.54044308
1.495875,93.48810429
1.526403067,93.48810429
1.5569311,93.48810429
1.587459167,93.5409194
1.617987233,93.68353211
1.6485153,93.88461311
1.679043367,94.11857743
1.709571433,94.34657822
1.740099467,94.52171984
1.770627533,94.52171984
1.8011556,94.52171984
1.831683667,94.29736668
1.862211733,93.89440791
1.8927398,93.34098208
1.923267833,92.68053316
1.9537959,91.97559972
1.984323967,91.30005333
2.014852033,90.72904925
2.0453801,90.32817029
2.075908167,90.32817029
2.1064362,90.32817029
2.136964267,90.46741401
2.167492333,90.92214145
2.1980204,91.49084082
2.228548467,92.09015623
2.259076533,92.6319217
2.289604567,93.03536896
2.320132633,93.03536896
2.3506607,93.03536896
2.381188767,92.93496657
2.411716833,92.45442354
2.4422449,91.82077037
2.472772933,91.10986865
2.503301,90.40619298
2.533829067,89.79113846
2.564357133,89.33210229
2.5948852,89.19925126
2.625413267,89.19925126
2.6559413,89.19925126
2.686469367,89.53339681
2.716997433,89.97876283
2.7475255,90.4673207
2.778053567,90.9298848
2.8085816,91.30534797
2.839109667,91.54821833
2.869637733,91.54821833
2.9001658,91.54821833
2.930693867,91.34215703
2.961221933,91.01962968
2.991749967,90.63826731
3.022278033,90.25011382
3.0528061,89.90561537
3.083334167,89.64810782
3.113862233,89.64810782
3.1443903,89.64810782
3.174918333,89.65434944
3.2054464,89.93640194
3.235974467,90.34001793
3.266502533,90.84208125
3.2970306,91.41538405
3.327558667,92.03105987
3.3580867,92.66037341
3.388614767,93.27582034
3.419142833,93.85165471
3.4496709,94.36407418
3.480198967,94.79133763
3.510727033,95.11406196
3.541255067,95.31238908
3.571783133,95.31238908
3.6023112,95.31238908
3.632839267,95.09952835
3.663367333,94.75299021
3.6938954,94.2883228
3.724423433,93.72920362
3.7549515,93.10635323
3.785479567,92.45554801
3.816007633,91.81488495
3.8465357,91.2215836
3.877063767,90.70870103
3.9075918,90.3021688
3.938119867,90.018531
3.968647933,89.91098186
3.999176,89.91098186
4.029704067,89.91098186
4.0602321,90.07614878
4.090760167,90.30088183
4.121288233,90.55599523
4.1518163,90.81349712
4.182344367,91.04922572
4.212872433,91.24476847
4.243400467,91.38848317
4.273928533,91.47557562
4.3044566,91.47557562
4.334984667,91.47557562
4.365512733,91.43135935
4.3960408,91.34224957
4.426568833,91.23157862
4.4570969,91.10692641
4.487624967,90.97369891
4.518153033,90.83524748
4.5486811,90.69350564
4.579209167,90.54994641
4.6097372,90.40660723
4.640265267,90.26692139
4.670793333,90.13613576
4.7013214,90.02117773
4.731849467,89.92994464
4.762377533,89.87010729
4.792905567,89.87010729
4.823433633,89.87010729
4.8539617,89.92117938
4.884489767,90.00857312
4.915017833,90.11532101
4.9455459,90.22496821
4.976073933,90.31823642
5.006602,90.31823642
5.037130067,90.31823642
5.067658133,90.31075814
5.0981862,90.16711352
5.128714233,89.94571608
5.1592423,89.65372304
5.189770367,89.30572538
5.220298433,88.92240273
5.2508265,88.52846192
5.281354567,88.15012279
5.3118826,87.81246672
5.342410667,87.53697031
5.372938733,87.3395084
5.4034668,87.26796058
5.433994867,87.26796058
5.464522933,87.26796058
5.495050967,87.3998945
5.525579033,87.58644063
5.5561071,87.8084348
5.586635167,88.04597222
5.617163233,88.280287
5.6476913,88.49533606
5.678219333,88.67895681
5.7087474,88.82352787
5.739275467,88.92612094
5.769803533,88.98818329
5.8003316,88.99457029
5.830859667,88.99457029
5.8613877,88.99457029
5.891915767,88.96661153
5.922443833,88.93880827
5.9529719,88.91823012
5.983499967,88.91823012
6.014028033,88.91823012
6.044556067,88.93174151
6.075084133,88.95800516
6.1056122,88.98762638
6.136140267,89.01411457
6.166668333,89.01823194
6.1971964,89.01823194
6.227724433,89.01823194
6.2582525,88.98563304
6.288780567,88.93913771
6.319308633,88.88550838
6.3498367,88.83411094
6.380364733,88.79928634
6.4108928,88.79928634
6.441420867,88.79928634
6.471948933,88.85538969
6.502477,88.94988153
6.533005067,89.0773261
6.5635331,89.22637152
6.594061167,89.38051175
6.624589233,89.51969439
6.6551173,89.62262402
6.685645367,89.62262402
6.716173433,89.62262402
6.746701467,89.53944363
6.777229533,89.35310351
6.8077576,89.09409631
6.838285667,88.77915077
6.868813733,88.43151503
6.8993418,88.07815007
6.929869833,87.74631065
6.9603979,87.46001352
6.990925967,87.23693816
7.021454033,87.08626272
7.0519821,87.02530966
7.082510167,87.02530966
7.1130382,87.02530966
7.143566267,87.08666528
7.174094333,87.15805286
7.2046224,87.22493604
7.235150467,87.2800936
7.265678533,87.32554565
7.296206567,87.37285331
7.326734633,87.44165241
7.3572627,87.55657156
7.387790767,87.74296275
7.418318833,88.02209159
7.4488469,88.40655603
7.479374933,88.89670317
7.509903,89.47868915
7.540431067,90.12459365
7.570959133,90.79469211
7.6014872,91.44165418
7.632015233,92.01612808
7.6625433,92.472938
7.693071367,92.77700402
7.723599433,92.77700402
7.7541275,92.77700402
7.784655567,92.65997113
7.8151836,92.32893148
7.845711667,91.91537784
7.876239733,91.47061873
7.9067678,91.04599313
7.937295867,90.68635468
7.967823933,90.42453362
7.998351967,90.30978434
8.028880033,90.30978434
8.0594081,90.30978434
8.089936167,90.44153834
8.120464233,90.60095815
8.1509923,90.74589648
8.181520333,90.75030286
8.2120484,90.75030286
8.242576467,90.75030286
8.273104533,90.55071569
8.3036326,90.25768671
8.334160667,89.89582052
8.3646887,89.49907585
8.395216767,89.10606641
8.425744833,88.754933
8.4562729,88.47850332
8.486800967,88.30038671
8.517329033,88.30038671
8.547857067,88.30038671
8.578385133,88.41359919
8.6089132,88.62932282
8.639441267,88.89470689
8.669969333,89.18151231
8.7004974,89.46392356
8.731025433,89.72179374
8.7615535,89.94274418
8.792081567,90.12285524
8.822609633,90.26591593
8.8531377,90.38143387
8.883665733,90.48180506
8.9141938,90.57917479
8.944721867,90.68256229
8.975249933,90.79576642
9.005778,90.916425
9.036306067,91.03639062
9.0668341,91.14334586
9.097362167,91.22335293
9.127890233,91.22335293
9.1584183,91.22335293
9.188946367,91.19965771
9.219474433,91.09883283
9.250002467,90.96699938
9.280530533,90.82254853
9.3110586,90.68649
9.341586667,90.57891284
9.372114733,90.54330712
9.4026428,90.54330712
9.433170833,90.54330712
9.4636989,90.62251588
9.494226967,90.7224944
9.524755033,90.81901366
9.5552831,90.85802748
9.585811167,90.85802748
9.6163392,90.85802748
9.646867267,90.74527828
9.677395333,90.5764703
9.7079234,90.37414196
9.738451467,90.17037535
9.768979533,90.00226739
9.799507567,90.00226739
9.830035633,90.00226739
9.8605637,90.03580135
9.891091767,90.27971765
9.921619833,90.62662974
9.9521479,91.04328369
9.982675933,91.48391701
10.013204,91.89659029
10.04373207,92.23098523
10.07426013,92.44650563
10.1047882,92.44650563
10.13531623,92.44650563
10.1658443,92.25232674
10.19637237,91.97640801
10.22690043,91.67818834
10.2574285,91.42310677
10.28795657,91.42310677
10.3184846,91.42310677
10.34901267,91.45715118
10.37954073,91.8108718
10.4100688,92.30154508
10.44059687,92.8651941
10.47112493,93.41768419
10.50165297,93.86639544
10.53218103,93.86639544
10.5627091,93.86639544
10.59323717,93.82601233
10.62376523,93.2360928
10.6542933,92.39706335
10.68482133,91.39074534
10.7153494,90.32735259
10.74587747,89.33153873
10.77640553,88.52591497
10.8069336,88.11597804
10.83746167,88.11597804
10.8679897,88.11597804
10.89851777,88.73969249
10.92904583,89.67797037
10.9595739,90.83435882
10.99010197,92.09071682
11.02063003,93.32305969
11.05115807,94.41756335
11.08168613,95.2843914
11.1122142,95.86742891
11.14274227,95.91250305
11.17327033,95.91250305
11.2037984,95.91250305
11.23432643,95.51459179
11.2648545,95.03172788
11.29538257,94.53814979
